mean_dist_day,mean_over_speed_perc,Cluster
71.24,28,3
52.53,25,3
64.54,27,3
55.69,22,3
54.58,25,3
41.91,10,2
58.64,20,3
52.02,8,2
31.25,34,3
44.31,19,2
49.35,40,3
58.07,45,3
44.22,22,3
55.73,19,2
46.63,43,3
52.97,32,3
46.25,35,3
51.55,27,3
57.05,26,3
58.45,30,3
43.42,23,3
55.68,37,3
55.15,18,2
43.84,22,3
59.26,32,3
37.14,41,3
64.3,29,3
45.75,16,2
45.97,23,3
56.04,39,3
33.64,45,3
41.67,33,3
50.68,39,3
54.22,35,3
56.2,29,3
46.16,41,3
50.22,24,3
49.66,33,3
38.61,37,3
55.28,36,3
57.87,41,3
61.69,12,2
37.41,21,3
53.83,32,3
62.98,22,3
46.97,13,2
58.03,24,3
59.87,36,3
81.34,31,3
48.56,26,3
17.66,23,3
46.01,21,3
45.34,26,3
39.64,31,3
51.22,36,3
36.21,31,3
47.32,55,3
54.87,27,3
58.97,6,2
57.3,42,3
59.94,32,3
61.72,25,3
53.19,23,3
35.13,38,3
48.47,20,3
51.17,43,3
42.14,39,3
54.31,35,3
48.93,32,3
53.51,44,3
51.72,24,3
49.86,10,2
49.2,41,3
60.2,39,3
54.06,20,3
72.91,30,3
61.92,40,3
44.2,24,3
60.75,39,3
68.36,37,3
56.39,20,3
38.19,15,2
66.19,27,3
58.2,17,2
47.55,22,3
37.62,16,2
17.81,26,3
31.25,29,3
61.0,41,3
40.98,33,3
53.69,24,3
51.46,9,2
64.57,29,3
53.79,23,3
64.28,34,3
38.41,24,3
58.89,42,3
44.17,33,3
50.41,43,3
63.63,28,3
45.78,24,3
55.61,20,3
67.23,5,2
49.69,38,3
54.6,30,3
40.94,59,3
43.84,36,3
56.36,19,2
69.53,23,3
51.48,19,2
52.93,41,3
55.52,8,2
52.14,23,3
62.86,21,3
37.53,33,3
63.47,25,3
62.11,33,3
43.52,25,3
47.97,27,3
42.27,37,3
56.05,30,3
62.08,37,3
35.25,53,3
39.81,25,3
60.27,33,3
53.41,22,3
56.28,27,3
53.31,25,3
55.24,30,3
44.97,29,3
40.3,43,3
47.18,42,3
46.4,34,3
35.11,15,2
54.33,38,3
54.59,64,3
61.67,50,3
52.39,19,2
52.37,6,2
40.84,25,3
27.42,27,3
44.79,31,3
59.84,37,3
36.0,45,3
47.64,10,2
51.85,37,3
59.73,15,2
42.96,37,3
51.84,27,3
59.62,23,3
58.82,30,3
50.93,30,3
41.35,23,3
24.58,45,3
57.74,22,3
38.14,33,3
51.82,20,3
41.37,17,2
55.01,24,3
64.56,53,3
46.09,35,3
57.81,20,3
46.31,23,3
66.62,37,3
42.89,17,2
40.82,23,3
50.55,41,3
40.43,40,3
53.36,25,3
44.83,27,3
35.87,35,3
46.95,23,3
47.75,20,3
57.12,26,3
38.03,43,3
54.31,45,3
50.29,39,3
33.6,24,3
45.13,44,3
31.68,31,3
72.36,4,2
48.43,55,3
44.48,36,3
56.54,20,3
54.11,50,3
49.51,29,3
50.66,36,3
61.82,23,3
50.45,15,2
67.7,43,3
41.61,12,2
39.63,31,3
36.08,31,3
45.18,27,3
49.33,28,3
48.66,45,3
53.81,25,3
35.57,44,3
48.83,39,3
69.14,40,3
60.75,59,3
52.01,39,3
47.88,45,3
40.3,30,3
48.52,30,3
55.06,37,3
48.45,28,3
58.65,40,3
69.29,21,3
51.7,21,3
69.95,18,2
53.04,37,3
47.97,27,3
64.01,26,3
61.76,23,3
49.98,28,3
81.96,27,3
56.56,25,3
51.69,30,3
54.83,40,3
54.97,39,3
44.07,27,3
45.95,40,3
42.24,22,3
43.52,49,3
51.33,31,3
56.68,55,3
51.06,24,3
41.95,28,3
53.56,27,3
47.86,45,3
43.74,34,3
41.22,39,3
45.82,42,3
44.74,25,3
53.88,30,3
44.4,29,3
59.01,35,3
53.27,19,2
45.62,25,3
53.16,53,3
50.91,51,3
33.53,42,3
46.92,33,3
59.24,35,3
48.37,32,3
50.26,21,3
38.14,30,3
63.42,26,3
57.46,14,2
63.79,33,3
58.13,30,3
56.35,41,3
52.95,3,2
55.65,27,3
29.44,34,3
49.58,39,3
31.3,33,3
43.48,29,3
48.94,34,3
43.93,32,3
53.83,36,3
53.69,21,3
60.33,8,2
40.97,42,3
49.29,21,3
56.06,34,3
66.16,32,3
32.61,23,3
37.37,25,3
46.04,38,3
57.17,33,3
41.06,31,3
47.21,36,3
55.74,44,3
56.34,25,3
61.53,11,2
61.4,38,3
59.03,29,3
26.76,22,3
48.24,34,3
50.84,33,3
64.25,28,3
23.06,15,2
47.25,23,3
59.19,33,3
32.71,17,2
48.87,25,3
58.68,24,3
51.16,25,3
49.48,34,3
16.05,36,3
53.49,51,3
57.19,19,2
49.38,37,3
38.82,16,2
49.88,37,3
48.81,30,3
58.86,42,3
45.22,39,3
49.25,25,3
71.53,49,3
49.41,38,3
63.19,21,3
48.68,22,3
50.11,34,3
43.56,24,3
49.36,23,3
23.03,21,3
36.14,30,3
37.48,26,3
46.35,35,3
41.54,27,3
66.05,36,3
47.09,27,3
33.84,35,3
41.45,37,3
56.09,9,2
54.66,34,3
53.23,47,3
53.51,33,3
48.56,37,3
35.91,30,3
58.04,28,3
37.16,19,2
42.45,16,2
62.65,41,3
51.42,35,3
46.31,22,3
51.36,33,3
63.62,41,3
56.54,39,3
48.58,36,3
30.37,37,3
51.75,37,3
61.68,24,3
56.54,33,3
41.22,13,2
46.08,35,3
53.21,39,3
57.95,21,3
53.4,45,3
50.32,40,3
62.06,37,3
32.9,36,3
43.48,15,2
47.76,25,3
41.61,4,2
28.72,37,3
53.37,40,3
37.81,34,3
48.7,46,3
53.23,40,3
43.47,33,3
64.55,30,3
59.34,38,3
29.92,49,3
45.67,39,3
44.99,36,3
51.07,13,2
57.87,38,3
57.9,34,3
45.41,32,3
66.97,33,3
49.37,40,3
49.54,21,3
51.73,61,3
29.68,30,3
66.12,38,3
52.68,30,3
50.32,46,3
63.2,40,3
45.12,25,3
38.69,22,3
50.77,32,3
48.0,23,3
55.36,47,3
53.11,48,3
38.51,28,3
38.96,21,3
27.4,30,3
34.95,35,3
68.86,31,3
60.4,28,3
37.33,38,3
59.63,24,3
33.92,43,3
43.98,6,2
53.74,31,3
45.51,33,3
55.09,19,2
68.87,18,2
58.44,19,2
43.75,19,2
47.07,33,3
47.89,28,3
53.3,41,3
57.02,37,3
43.44,31,3
38.49,21,3
61.08,24,3
62.52,41,3
